"id:ID(Person-ID)","name",":LABEL"
"1054468","查克·琼斯","Person"
"1056128","赫伯特·罗斯","Person"
"1037033","贾斯汀·查德维克","Person"
"1274903","苏珊娜·怀特","Person"
"313522.7754579617","Todd Robinson","Person"
"1050480","乔尔·霍普金斯","Person"
"1005168","海科特·巴班克","Person"
"1007144","卡尔·西奥多·德莱叶","Person"
"1054425","马丁·斯科塞斯","Person"
"422854.5538376276","Michael Henry Wilson","Person"
"1274766","落合正幸","Person"
"1054732","迈克尔·卡顿·琼斯","Person"
"356644.6607104905","诺曼 托卡 (Norman Tokar)","Person"
"168684.98608172344","Max Mannix","Person"
"412663.51492594386","Mike Newell","Person"
"1032729","弗谢沃罗德·普多夫金","Person"
"1012661","雷蒙·德帕东","Person"
"1007242","约瑟夫·维尔斯麦尔","Person"
"1054409","史蒂夫·布西密","Person"
"1276194","约翰·达尔","Person"
"1032108","迈克·李","Person"
"1028302","苏珊·史特罗曼","Person"
"25707.037310197302","Konstantin Lopushansky","Person"
"1054420","罗曼·波兰斯基","Person"
"1049827","托尼·吉尔罗伊","Person"
"1040988","迈克尔·哈内克","Person"
"1031921","保罗·安德森","Person"
"1000217","大卫·戈登·格林","Person"
"1000394","艾伦·J·帕库拉","Person"
"1028434","Steven Robman","Person"
"1018081","杰伊·罗奇","Person"
"1053570","许鞍华","Person"
"953047.2393123808","西尾大介","Person"
"1358515","杰森·克拉夫奇克","Person"
"1053575","基弗·萨瑟兰","Person"
"1025239","约翰·休斯顿","Person"
"346244.17420956475","达里尔 杜克 (Daryl Duke)","Person"
"1311294","科特妮·亨特","Person"
"1036727","小津安二郎","Person"
"1025299","塞西尔·B·戴米尔","Person"
"725626.2105926974","大卫·汉德-David Hand","Person"
"1042718","池广一夫","Person"
"1032421","安德列·泰西内","Person"
"1054510","阿巴斯·基亚罗斯塔米","Person"
"1036537","大卫·S·高耶","Person"
"700197.4036789738","Charles Guard","Person"
"47128.712032478594","Thomas Guard","Person"
"1032937","约翰·朗斯伯里","Person"
"1009748","沃夫冈·雷瑟曼","Person"
"378846.290076692","Edwin L. Marin","Person"
"1057125","阿历克塞·巴拉巴诺夫","Person"
"1004335","沈浮","Person"
"1050206","普拉奇亚·平克尧","Person"
"1305115","朴珍杓","Person"
"1027460","斯坦利·克雷默","Person"
"1305175","约阿希姆·提尔","Person"
"975170.1521820441","John Gulager","Person"
"1023329","威廉·凯利","Person"
"1093843","侯孝贤","Person"
"1287664","万仁","Person"
"1333645","曾壮祥","Person"
"1281021","奈吉·柯尔","Person"
