":START_ID(Person-ID)",":TYPE",":END_ID(Movie-ID)"
"1339188","Written","24859795"
"search","Written","2134299"
"1032249","Written","1303391"
"1016738","Written","1303391"
"1275151","Written","22715021"
"1319709","Written","22715021"
"1336699","Written","22715021"
"1009470","Written","1301374"
"search","Written","1301374"
"1032312","Written","1294085"
"1326531","Written","10735399"
"1313151","Written","2997134"
"1050108","Written","2997134"
"1313150","Written","2997134"
"1313152","Written","2997134"
"1045242","Written","2997134"
"1313153","Written","2997134"
"108516","Written","2997134"
"1118279","Written","3557490"
"1044735","Written","3557490"
"1310834","Written","6780857"
"1310839","Written","6780857"
"1159794","Written","1295187"
"1054228","Written","2346313"
"1014695","Written","1305218"
"1050129","Written","1470619"
"1007150","Written","1470619"
"search","Written","1428053"
"1050480","Written","2210391"
"1037599","Written","1299879"
"1007144","Written","1506869"
"1013221","Written","1506869"
"1054425","Written","1401592"
"search","Written","1401592"
"1274766","Written","1423035"
"1288566","Written","1423035"
"1018558","Written","6384552"
"search","Written","1295524"
"search","Written","1295524"
"search","Written","3016975"
"search","Written","3016975"
,"Written","1844594"
"search","Written","1480993"
"1012661","Written","2133469"
"1011545","Written","1293750"
"search","Written","1293750"
"search","Written","1293750"
"1007242","Written","1293750"
"1054409","Written","1982084"
"1015256","Written","1982084"
"search","Written","1295296"
"1032108","Written","1297313"
"1010574","Written","1479817"
"search","Written","1479817"
"1018788","Written","3214177"
"search","Written","3214177"
"search","Written","1303928"
"1072323","Written","1303928"
"1049827","Written","2968611"
"1040988","Written","1306548"
"1031921","Written","1308769"
"1027500","Written","1308769"
"search","Written","1308769"
"1000217","Written","1303254"
"1000667","Written","1300065"
"1024493","Written","1300065"
"1051295","Written","1307439"
"1032789","Written","25931635"
"1280690","Written","1296557"
"1046823","Written","3552817"
"1358515","Written","26340123"
"1009924","Written","1295984"
"1010234","Written","1293347"
"1025239","Written","1293347"
"search","Written","1293347"
"search","Written","1301152"
"search","Written","1301152"
"1311294","Written","2996114"
"1333677","Written","1308401"
,"Written","2033549"
,"Written","2378093"
"search","Written","3112590"
"1007454","Written","3112590"
"search","Written","3112590"
"1032421","Written","1850640"
"search","Written","1850640"
"1054510","Written","3195432"
"1023463","Written","1864491"
"search","Written","1864491"
"search","Written","2127788"
"search","Written","2127788"
"1014723","Written","1296684"
"1015003","Written","1296684"
"1331774","Written","1296684"
"1037585","Written","1296684"
"1045510","Written","1296684"
"1023624","Written","1296684"
"1051311","Written","1296684"
"1057110","Written","1296684"
"1037515","Written","1296684"
"1028766","Written","1296684"
"1045985","Written","3278804"
"1007150","Written","3278804"
"1057125","Written","2971681"
"1275171","Written","1419052"
"1004335","Written","1419052"
"search","Written","1417555"
"search","Written","1417555"
"search","Written","1417555"
"search","Written","1417555"
"1335499","Written","25828521"
"search","Written","1293508"
"1143973","Written","1293508"
"1305175","Written","6109756"
"search","Written","6109756"
"1018395","Written","3011980"
"search","Written","3011980"
"1050909","Written","2134835"
"1315340","Written","1302912"
"1165979","Written","1302912"
"search","Written","3530752"
