"id:ID(Person-ID)","name",":LABEL"
"1002551","Giuseppe Marotta","Person"
"1016014","梦野久作","Person"
"1275786","石井聪一","Person"
"1017843","韦家辉","Person"
"1298766","司徒锦源","Person"
"1275121","邹凯光","Person"
"1000506","安诺斯·托马斯·延森","Person"
"1289917","克里斯蒂安·莱沃","Person"
"1071097","佩德罗·科斯塔","Person"
"1104510","笠原良三","Person"
"406017.40525113494","Yoriyoshi Arima","Person"
"634982.394251116","Mary Rodgers","Person"
"94121.8721995356","Heather Hach","Person"
"1279858","杰弗里·凯恩","Person"
"1000184","安东尼·博金斯","Person"
"1000531","史蒂芬·桑德海姆","Person"
"1023150","格雷格·马克斯","Person"
"1019131","卢西奥·弗尔兹","Person"
"1018454","戴维·黑尔","Person"
"269253.88812304","苏文星","Person"
"1274472","叶伟信","Person"
"1275121","邹凯光","Person"
"263743.9854991472","文隽","Person"
"514382.90103772964","陈十三","Person"
"88986.17848028545",,"Person"
"1351134","斯蒂芬·米列埃尔","Person"
"1351133","吕克·马雷斯科","Person"
"1351121","约翰妮·伯纳德","Person"
"1015295","路易斯·博洛涅西","Person"
"1330091","路易斯-保罗·德桑热","Person"
"1342788","蒂埃里·拉格贝尔","Person"
"1241354","约翰·凯林","Person"
"509899.8601980742","叶天成","Person"
"229061.4598436822","潘漫红","Person"
"396864.6305121211","黄洋达","Person"
"1009585","左伊·R·卡萨维泽","Person"
"1015577","雷德·卡罗林","Person"
"1031224","查宁·塔图姆","Person"
"764998.9847110723","Julio Alejandro","Person"
"1043012","Hanns Heinz Ewers","Person"
"1016738","埃德加·爱伦·坡 ","Person"
"440532.19545799925",,"Person"
"423659.4708990564","Ali Wong","Person"
"2837.5380375764703","John Bryan (screenplay)","Person"
"1009960","A.J. Cronin","Person"
"1036409","阿方索·卡隆","Person"
"1028049","卡洛斯·卡隆","Person"
"1014601","刘易斯-约翰·卡利诺","Person"
"1298766","司徒锦源","Person"
"1321633","邓力奇","Person"
"1054526","英格玛·伯格曼","Person"
"1040722","石黑一雄","Person"
"1284570","亚历克斯·加兰","Person"
"1309637","斯科特·Z·本恩斯","Person"
"1041519","艾伦·哈维","Person"
"878651.583340174","Lawrence Konner","Person"
"549912.1640494613","Mark Rosenthal","Person"
"1028640","Laurie Halse Anderson","Person"
"1041672","杰西卡·沙泽尔","Person"
"1185581","Annie Young Frisbie","Person"
"1094255","Mark Hanna","Person"
"1210379","Morgan Lander","Person"
"1005450","阿里尔·弗罗门","Person"
"1007599","Francis Wallace","Person"
"1048536","塞腾·艾·米勒","Person"
"1332656","Liz W. Garcia","Person"
"1027778","安德烈·塔可夫斯基","Person"
"1032838","托尼诺·格拉","Person"
"1029945","薇洛妮卡·费尔南德兹","Person"
"1322368","乔迪·加苏尔","Person"
"1322369","尼尔·朗道","Person"
"1322370","哈维尔·洛佩兹·巴雷拉","Person"
"1322371","戈尔卡·马加隆","Person"
"1051474","伊格纳西·德尔·莫拉尔","Person"
